dataset,measure,paradigm,ari,nmi,runtime,seed,perturbation_type,perturbation_level,n_samples,series_length,k
SyntheticControl,sbd,sliding,0.07309010266462253,0.3110765209667439,0.18932610000047134,1,none,0,600,60,6
SyntheticControl,idk,distributional,0.3327340315392681,0.43832741795453845,4.76344810000046,1,none,0,600,60,6
SyntheticControl,sbd,sliding,0.08314593564776841,0.30003953897767666,0.14466820000052394,2,none,0,600,60,6
SyntheticControl,idk,distributional,0.26457631580910984,0.33550400254796653,4.534604899999977,2,none,0,600,60,6
SyntheticControl,sbd,sliding,0.021391405020817593,0.17234717555939072,0.15174300000035146,3,none,0,600,60,6
SyntheticControl,idk,distributional,0.2776944925989391,0.34344853620651233,4.592583700000432,3,none,0,600,60,6
SyntheticControl,sbd,sliding,0.051881818509458645,0.2744876410528679,0.14554390000012063,4,none,0,600,60,6
SyntheticControl,idk,distributional,0.15360643575818222,0.2775349962688684,4.5486606999993455,4,none,0,600,60,6
SyntheticControl,sbd,sliding,0.05618368512307777,0.2897463160359134,0.15003499999966152,5,none,0,600,60,6
SyntheticControl,idk,distributional,0.3380375118936668,0.4702447320377106,4.5529114000000845,5,none,0,600,60,6
CBF,sbd,sliding,0.00822970471908588,0.08909045570268545,1.1179591999998593,1,none,0,930,128,3
CBF,idk,distributional,0.24153703895885675,0.26452180427526095,13.510968200000207,1,none,0,930,128,3
CBF,sbd,sliding,0.00858547991517225,0.11735152736050168,0.21040799999991577,2,none,0,930,128,3
CBF,idk,distributional,0.18750475457287294,0.22960781126490168,13.413286400000288,2,none,0,930,128,3
CBF,sbd,sliding,0.0036509138256253073,0.0826931147069452,0.23160340000049473,3,none,0,930,128,3
CBF,idk,distributional,0.20144146189480405,0.25889152092918305,14.86271570000008,3,none,0,930,128,3
CBF,sbd,sliding,0.004761310009286777,0.09205213414496252,0.20625830000062706,4,none,0,930,128,3
CBF,idk,distributional,0.22636932017197078,0.2666588933420625,13.39947740000025,4,none,0,930,128,3
CBF,sbd,sliding,0.0040900731821529234,0.08589833098050992,0.20894210000005842,5,none,0,930,128,3
CBF,idk,distributional,0.21415783573392025,0.24426980536547918,15.143423100000291,5,none,0,930,128,3
ItalyPowerDemand,sbd,sliding,0.001993775623761108,0.03194310073154737,0.2807647999998153,1,none,0,1096,24,2
ItalyPowerDemand,idk,distributional,0.15174270919123417,0.11742878884946968,8.202687699999842,1,none,0,1096,24,2
ItalyPowerDemand,sbd,sliding,0.001968710560580784,0.021258951263441205,0.21455559999958496,2,none,0,1096,24,2
ItalyPowerDemand,idk,distributional,0.19106759670973977,0.14342035195659583,8.06608099999994,2,none,0,1096,24,2
ItalyPowerDemand,sbd,sliding,0.002000102175748558,0.03873465224763505,0.25356250000004366,3,none,0,1096,24,2
ItalyPowerDemand,idk,distributional,0.08656337120975036,0.06475007570825109,8.062810099999297,3,none,0,1096,24,2
ItalyPowerDemand,sbd,sliding,0.0019440313725843609,0.019050253488177248,0.21258380000017496,4,none,0,1096,24,2
ItalyPowerDemand,idk,distributional,0.2438650218057547,0.1844417969626998,8.006153299999824,4,none,0,1096,24,2
ItalyPowerDemand,sbd,sliding,0.0015400793171913495,0.03427835934679266,0.22515479999947274,5,none,0,1096,24,2
ItalyPowerDemand,idk,distributional,0.04098015933909468,0.035217498085317274,7.939999100000023,5,none,0,1096,24,2
MoteStrain,sbd,sliding,0.008460671814172958,0.034580475053720146,0.3191593000001376,1,none,0,1272,84,2
MoteStrain,idk,distributional,0.35647167884284253,0.2740718697988967,14.232220700000653,1,none,0,1272,84,2
MoteStrain,sbd,sliding,0.013000498313157197,0.05598846646670577,0.2823945999998614,2,none,0,1272,84,2
MoteStrain,idk,distributional,0.48696026660746855,0.3907669047723461,14.876765299999533,2,none,0,1272,84,2
MoteStrain,sbd,sliding,0.0003523445613075001,0.0001347746053368856,0.3089626999999382,3,none,0,1272,84,2
MoteStrain,idk,distributional,0.03421225051345509,0.027964050852730824,15.31799780000074,3,none,0,1272,84,2
MoteStrain,sbd,sliding,0.0036025889111400344,0.010021423870062805,0.27690530000018043,4,none,0,1272,84,2
MoteStrain,idk,distributional,0.3075177433743141,0.23896727095728137,15.176841999999851,4,none,0,1272,84,2
MoteStrain,sbd,sliding,-0.00308680786458128,0.013802254361835182,0.31109960000048886,5,none,0,1272,84,2
MoteStrain,idk,distributional,0.37359850044440523,0.2887614544298922,15.547498400000222,5,none,0,1272,84,2
ECG200,sbd,sliding,0.2614469266654827,0.17211012647388602,0.09531130000050325,1,none,0,200,96,2
ECG200,idk,distributional,0.12682634916355512,0.07407668131367447,1.8511500999993586,1,none,0,200,96,2
ECG200,sbd,sliding,-0.06061978361493179,0.10550368512974836,0.09622480000052747,2,none,0,200,96,2
ECG200,idk,distributional,-0.0041067641779645525,0.00023520578440528917,1.6452816999999413,2,none,0,200,96,2
ECG200,sbd,sliding,-0.05483772182757381,0.061942884819207046,0.09670910000022559,3,none,0,200,96,2
ECG200,idk,distributional,-0.0036360921856526747,0.0011310410308192,1.650555500000337,3,none,0,200,96,2
ECG200,sbd,sliding,-0.03156005628971022,0.010900414883860484,0.060662100000627106,4,none,0,200,96,2
ECG200,idk,distributional,0.03160182453924221,0.026557183009668577,1.7919841999992059,4,none,0,200,96,2
ECG200,sbd,sliding,0.07710360395397961,0.03534741416099455,0.05267019999973854,5,none,0,200,96,2
ECG200,idk,distributional,-0.0019867860555482365,0.0021096006288850856,1.483547599999838,5,none,0,200,96,2
ECGFiveDays,sbd,sliding,0.003075051127508021,0.04870453749949011,0.268401499999527,1,none,0,884,136,2
