dataset,measure,paradigm,measure_params,clustering_params,ari,nmi,runtime,seed,perturbation_type,perturbation_level,n_samples,series_length,k
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",0.0072575454703023914,0.0029581129037221676,0.4352455999905942,1,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.8954249999951571,1,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",0.2814872689823915,0.15939322686226948,0.4403426000062609,2,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.7115606000006665,2,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",0.031358890248962074,0.010812327536742865,0.44453160000557546,3,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.8145359000045573,3,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",0.031358890248962074,0.010812327536742865,0.4942478000011761,4,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.8541875000082655,4,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",0.2814872689823915,0.15939322686226948,0.5401740000088466,5,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.8670184000075096,5,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",0.031358890248962074,0.010812327536742865,0.4598712000006344,6,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.7623380000004545,6,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",0.031358890248962074,0.010812327536742865,0.4422560999955749,7,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.750243499991484,7,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",0.0072575454703023914,0.0029581129037221676,0.4377794000029098,8,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.7474534999928437,8,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",0.0072575454703023914,0.0029581129037221676,0.4474523000098998,9,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.7722598999971524,9,none,0,363,24,2
Chinatown,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",0.0072575454703023914,0.0029581129037221676,0.44568429999344517,10,none,0,363,24,2
Chinatown,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 363, ""t"": 220, ""window_size"": 24, ""window_step"": 24}","{""k"": 2, ""n_samples"": 363, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",-0.003289315946754708,0.0030146205842464776,0.7390338999975938,10,none,0,363,24,2
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",0.6275169381716597,0.7407551983695774,1.4261553999967873,1,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",4.692451802118631e-06,0.016156537748224474,3.612638699996751,1,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",0.5276910949801514,0.6754369816959158,1.6725521000043955,2,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",5.8745886984215935e-05,0.016229952220815427,2.6530472000013106,2,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",0.5187512223289709,0.6298022183480261,2.2725149000034435,3,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",3.1719169393167285e-05,0.016193057686449058,2.229534500002046,3,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",0.5688308634835237,0.6592727775905584,1.3531463999970583,4,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",1.8205810597642956e-05,0.016174890410719938,3.144220199988922,4,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",0.6215021924704632,0.7412099043491251,2.278527499991469,5,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",4.692451802118631e-06,0.016156537748224474,2.2128992000070866,5,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",0.44395269846582747,0.5869183743511935,1.3727745000069262,6,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",4.692451802118631e-06,0.016156537748224474,3.151242399995681,6,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",0.6290356329301443,0.7203735119589003,2.291322399993078,7,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",-2.2334265788930022e-05,0.016120203196766235,2.215709900003276,7,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",0.5001388726793097,0.6306612093765052,1.3549531000026036,8,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",1.8205810597642956e-05,0.016174890410719938,3.154029500001343,8,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",0.5528051856338148,0.6800143785510165,2.2902784000034444,9,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",-8.820906993405696e-06,0.016138370472495354,2.646083900006488,9,none,0,600,60,6
SyntheticControl,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",0.5257064256005541,0.6532685507173853,2.353255199996056,10,none,0,600,60,6
SyntheticControl,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 600, ""t"": 220, ""window_size"": 60, ""window_step"": 60}","{""k"": 6, ""n_samples"": 600, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",1.8205810597642956e-05,0.016174890410719938,2.2287873000022955,10,none,0,600,60,6
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",0.6029782165746794,0.4936933936615994,9.442746600005194,1,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",0.00026249666131071287,0.0017465787118536116,20.386958000002778,1,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",0.5001260556665431,0.4092916734859559,9.550864600008936,2,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",0.00026249666131071287,0.0017465787118536116,19.235493100000895,2,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",0.6029782165746794,0.4936933936615994,9.660136500009685,3,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",-0.00022494239443706344,0.0013978046837770108,19.372867300000507,3,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",0.03058077739175986,0.02530219993496121,9.546283199990285,4,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",0.00026249666131071287,0.0017465787118536116,19.241651999996975,4,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",0.6029782165746794,0.4936933936615994,9.539068700003554,5,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",-0.00022494239443706344,0.0013978046837770108,18.085734299995238,5,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",0.6029782165746794,0.4936933936615994,10.44399759999942,6,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 6, ""samples_per_class"": null}",-0.00022494239443706344,0.0013978046837770108,19.083767300006002,6,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",0.015002261922424922,0.010431183001420733,9.601255000001402,7,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 7, ""samples_per_class"": null}",0.00026249666131071287,0.0017465787118536116,18.3065523999976,7,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",0.015002261922424922,0.010431183001420733,9.532932700007223,8,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 8, ""samples_per_class"": null}",-0.00022494239443706344,0.0013978046837770108,19.861309700005222,8,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",0.6029782165746794,0.4936933936615994,9.512908000004245,9,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 9, ""samples_per_class"": null}",-0.00022494239443706344,0.0013978046837770108,19.013965999998618,9,none,0,1272,84,2
MoteStrain,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",0.5001260556665431,0.40929167348595596,9.504913199998555,10,none,0,1272,84,2
MoteStrain,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 1272, ""t"": 220, ""window_size"": 84, ""window_step"": 84}","{""k"": 2, ""n_samples"": 1272, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 10, ""samples_per_class"": null}",0.00026249666131071287,0.0017465787118536116,18.101782800004003,10,none,0,1272,84,2
ECG200,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",0.20264213978503184,0.11711884554963234,0.20442480000201613,1,none,0,200,96,2
ECG200,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 96, ""window_step"": 96}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 1, ""samples_per_class"": null}",-0.004950860858641839,0.00611578370187565,0.4370595999935176,1,none,0,200,96,2
ECG200,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",0.19651597227914655,0.11501237068094518,0.1719158000050811,2,none,0,200,96,2
ECG200,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 96, ""window_step"": 96}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 2, ""samples_per_class"": null}",-0.004950860858641839,0.00611578370187565,0.24510430000373162,2,none,0,200,96,2
ECG200,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",0.19651597227914655,0.11501237068094518,0.18274459999520332,3,none,0,200,96,2
ECG200,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 96, ""window_step"": 96}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 3, ""samples_per_class"": null}",-0.004950860858641839,0.00611578370187565,0.24330149999877904,3,none,0,200,96,2
ECG200,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",0.19651597227914655,0.11501237068094518,0.18420340000011493,4,none,0,200,96,2
ECG200,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 96, ""window_step"": 96}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 4, ""samples_per_class"": null}",-0.004950860858641839,0.00611578370187565,0.24064699999871664,4,none,0,200,96,2
ECG200,sbd,sliding,"{""backend"": ""reference"", ""candidate_k"": 20, ""coarse_method"": ""paa"", ""n_jobs"": -1, ""paa_segments"": 32, ""standardize"": false}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",0.15284816713928134,0.09503104175598812,0.18526800000108778,5,none,0,200,96,2
ECG200,idk,distributional,"{""no_window_threshold"": 96, ""psi"": 200, ""t"": 220, ""window_size"": 96, ""window_step"": 96}","{""k"": 2, ""n_samples"": 200, ""no_window_threshold"": 96, ""normalize"": true, ""random_state"": 5, ""samples_per_class"": null}",0.009827828271632305,0.01641834287179623,0.2429818999953568,5,none,0,200,96,2
