dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params,seed,window_label,window_size,window_step,window_fraction,mode
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.21546540001872927,42,1,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,direct,96,96,,direct
ECG200,idk,distributional,0.11894784927302832,0.0677112251529969,10.23094499995932,42,1,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=5 (0.05L),5,1,0.05,sliding
ECG200,idk,distributional,0.1922704420406728,0.11943341967572867,4.648433100024704,42,1,sliding,w=10 (0.10L),200,200,96,2,"{""window_size"": 10, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=10 (0.10L),10,2,0.1,sliding
ECG200,idk,distributional,0.204373399552484,0.13762727266483119,2.437208399991505,42,1,sliding,w=19 (0.20L),200,200,96,2,"{""window_size"": 19, ""window_step"": 5, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=19 (0.20L),19,5,0.2,sliding
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.15050019999034703,42,2,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,direct,96,96,,direct
ECG200,idk,distributional,-0.005661501637123727,0.005067677082759234,11.004052400006913,42,2,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=5 (0.05L),5,1,0.05,sliding
ECG200,idk,distributional,-0.0041067641779645525,0.00023520578440528917,4.685358299990185,42,2,sliding,w=10 (0.10L),200,200,96,2,"{""window_size"": 10, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=10 (0.10L),10,2,0.1,sliding
ECG200,idk,distributional,0.028037509985395656,0.026543262387676,2.2764950999990106,42,2,sliding,w=19 (0.20L),200,200,96,2,"{""window_size"": 19, ""window_step"": 5, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=19 (0.20L),19,5,0.2,sliding
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.13533939997432753,42,3,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,direct,96,96,,direct
ECG200,idk,distributional,0.028014529413326467,0.009405846423936786,10.65095390001079,42,3,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=5 (0.05L),5,1,0.05,sliding
