dataset,mode,window_label,window_size,window_step,ari_mean,ari_std,nmi_mean,nmi_std,runtime_mean,runtime_std,seeds
ECG200,direct,direct,96,96,-0.004950860858641839,0.0,0.00611578370187565,0.0,0.1671016666611346,0.04256466248538592,3
ECG200,sliding,w=10 (0.10L),10,2,0.11747828914215759,0.1062223301757174,0.07192922506440087,0.06317368330124568,4.670426833346331,0.01944927520741263,3
ECG200,sliding,w=19 (0.20L),19,5,0.15360169959861056,0.10940303409611692,0.10225483304404388,0.065615154151637,2.378958633324752,0.08901311178838218,3
ECG200,sliding,w=5 (0.05L),5,1,0.04710029234974369,0.06445985063364008,0.027394916219897644,0.034982259829805275,10.628650433325674,0.38703597568148335,3
Plane,direct,direct,144,144,-8.30894904816028e-05,6.413279486062188e-05,0.052552871362719855,8.916666933094444e-05,0.1481596999995721,0.0033846911100145548,3
Plane,sliding,w=14 (0.10L),14,4,0.77694028111496,0.17073211879804218,0.8684069180093932,0.08922009703299258,4.510783033348464,0.06132959106195667,3
Plane,sliding,w=29 (0.20L),29,7,0.7220246601286388,0.009202740041194767,0.8341033912471386,0.0015221795469348648,2.142957733342579,0.040906746561324474,3
Plane,sliding,w=7 (0.05L),7,2,0.8004936927640317,0.1903188950942088,0.8884785965804459,0.10307144515223557,8.66634293331299,0.33381953022765243,3
Trace,direct,direct,275,275,-9.800549696878113e-06,7.855895240470312e-05,0.028231256876326483,7.958280757976761e-05,0.1352867666670742,0.0036380731862630817,3
Trace,sliding,w=14 (0.05L),14,4,0.22357335123298863,0.033485401269541776,0.26449844658225485,0.018274574319941794,7.960423499986064,1.9235050733300467,3
Trace,sliding,w=28 (0.10L),28,7,0.19553701702408,0.0706658228199807,0.2346328792712762,0.06976720094736666,3.7928202999949767,0.0629147867843517,3
Trace,sliding,w=55 (0.20L),55,14,0.2877117339704362,0.15552902573343502,0.332363751826297,0.14837898748832218,2.412594833333666,0.05127201298498037,3
