dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params,seed,window_label,window_size,window_step,window_fraction,mode
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.34508880000794306,42,1,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,direct,96,96,,direct
ECG200,idk,distributional,0.11894784927302832,0.0677112251529969,13.560150200035423,42,1,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=5 (0.05L),5,1,0.05,sliding
ECG200,idk,distributional,0.1922704420406728,0.11943341967572867,5.270690299978014,42,1,sliding,w=10 (0.10L),200,200,96,2,"{""window_size"": 10, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=10 (0.10L),10,2,0.1,sliding
ECG200,idk,distributional,0.204373399552484,0.13762727266483119,2.636165699979756,42,1,sliding,w=19 (0.20L),200,200,96,2,"{""window_size"": 19, ""window_step"": 5, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",1,w=19 (0.20L),19,5,0.2,sliding
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.1728751000482589,42,2,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,direct,96,96,,direct
ECG200,idk,distributional,-0.005661501637123727,0.005067677082759234,15.716246099967975,42,2,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=5 (0.05L),5,1,0.05,sliding
ECG200,idk,distributional,-0.0041067641779645525,0.00023520578440528917,7.563291500031482,42,2,sliding,w=10 (0.10L),200,200,96,2,"{""window_size"": 10, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=10 (0.10L),10,2,0.1,sliding
ECG200,idk,distributional,0.028037509985395656,0.026543262387676,3.0849085000227205,42,2,sliding,w=19 (0.20L),200,200,96,2,"{""window_size"": 19, ""window_step"": 5, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",2,w=19 (0.20L),19,5,0.2,sliding
ECG200,idk,distributional,-0.004950860858641839,0.00611578370187565,0.2348768999800086,42,3,direct,direct,200,200,96,2,"{""window_size"": 96, ""window_step"": 96, ""no_window_threshold"": 96, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,direct,96,96,,direct
ECG200,idk,distributional,0.028014529413326467,0.009405846423936786,16.588687999988906,42,3,sliding,w=5 (0.05L),200,200,96,2,"{""window_size"": 5, ""window_step"": 1, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=5 (0.05L),5,1,0.05,sliding
ECG200,idk,distributional,0.16427118956376455,0.09611904973306866,7.67416629998479,42,3,sliding,w=10 (0.10L),200,200,96,2,"{""window_size"": 10, ""window_step"": 2, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=10 (0.10L),10,2,0.1,sliding
ECG200,idk,distributional,0.22839418925795205,0.1425939640796245,2.694047999975737,42,3,sliding,w=19 (0.20L),200,200,96,2,"{""window_size"": 19, ""window_step"": 5, ""no_window_threshold"": 0, ""n_trees"": 220, ""sample_size"": 200, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}",3,w=19 (0.20L),19,5,0.2,sliding
