dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,dtw,elastic,0.4925229001583731,0.49501864558063446,8.144191999999975,42,1,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.5016695428552093,0.5127764219575149,7.847436299999799,42,2,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.31568827832465557,0.3557433728212321,7.431933500000014,42,3,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.3508640781563805,0.3640061107580382,8.12451759999999,42,4,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.2532574737426324,0.30807729040842885,9.475187300000243,42,5,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.5319617085870479,0.5331384466314123,7.356101800000033,42,6,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.5179543856123782,0.5164451460063866,8.859902799999873,42,7,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.4592722511396334,0.46333392510030735,7.753747800000156,42,8,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.38474665353366455,0.43035073466111906,7.0276360999998815,42,9,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.40313189861608645,0.4290254490358143,7.656421100000216,42,10,length,0.25,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.3542170214525484,0.397718181480867,0.0027278000000023894,42,1,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2668769104778136,0.3173067245676719,0.0017255999998724292,42,2,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.3469423796297783,0.34662413691099503,0.0016810999998142506,42,3,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.31491668089849856,0.32009294505586294,0.0009056999999756954,42,4,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.26590422506146644,0.295053772807839,0.0015800999999555643,42,5,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.26483022653522914,0.31557591208281704,0.001328400000147667,42,6,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.3469423796297783,0.34662413691099503,0.0009367000000111148,42,7,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.3243967795358221,0.37054889210547876,0.0010624000001371314,42,8,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.271147734169086,0.3154550176943339,0.0013584000000719243,42,9,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.375850199750263,0.40777149203783525,0.0012008999999579828,42,10,length,0.25,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.10714454227179647,0.11299791266858958,10.64283709999927,42,1,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.07090118880559956,0.09201024034909883,11.96639259999938,42,2,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.08743425653796243,0.08886452108653942,11.65658379999968,42,3,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.02256033645488125,0.03419725244679081,12.519841699999233,42,4,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.055954138294101154,0.05807570549065254,10.73682270000063,42,5,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.13074421719065127,0.12608452230029948,10.668253599999844,42,6,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.10531549790568842,0.103369610798987,10.694637600000533,42,7,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,idk,distributional,0.11356152632889675,0.12220585095687105,11.306613500000822,42,8,length,0.25,930,150,128,3,"{""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
