dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,ed,lock-step,0.21976899108768466,0.2616295556891146,0.0019083999999995882,42,1,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,7.943012000000001,42,1,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,1.092762200000001,42,1,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.21801735352642948,0.26207329845403593,0.0028132999999996855,42,2,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.8031884679783747,0.8314786667170627,6.270226500000003,42,2,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,0.9161347999999983,42,2,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.18295991731644637,0.25409064310623236,0.002493699999998711,42,3,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.29005799181779424,0.32312497355643893,5.893173300000001,42,3,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5110945323789361,0.5515270900859249,0.9229006999999996,42,3,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.18411433169074418,0.24724661884096702,0.0024123000000031425,42,4,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,6.173335400000003,42,4,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.28200140553487124,0.3367004915386714,0.9031035999999943,42,4,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.15032785101946397,0.255175463721561,0.0017324000000016326,42,5,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,6.108241600000007,42,5,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,0.8657876999999985,42,5,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2412420784818695,0.29930119575002195,0.00411489999999759,42,6,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7704085965841763,0.793321002507109,5.9206715000000045,42,6,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.3156473975775406,0.4048173191768149,0.9277300000000039,42,6,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.242781372960611,0.3144958777930363,0.0015321000000056983,42,7,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.20640321936352474,0.25597146696144646,6.245002000000007,42,7,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.5804583144033054,0.6148190807689878,1.0327672999999962,42,7,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.23542056722834756,0.27549173225723567,0.0022306000000043014,42,8,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,6.129050699999993,42,8,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,0.984585800000005,42,8,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.17507826239433932,0.1808155982196754,0.0012425999999976511,42,9,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7781076632899532,0.7703043379830262,6.250336799999992,42,9,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4328934976163429,0.6072411891488683,0.9306940000000026,42,9,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.19947203098280664,0.23440317234814387,0.003953199999997992,42,10,noise,0.0,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.20640321936352474,0.25597146696144646,6.388766600000011,42,10,noise,0.0,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.26143765286273773,0.28465581601719603,1.0462810000000076,42,10,noise,0.0,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.21976899108768466,0.2616295556891146,0.0022754999999961,42,1,noise,0.1,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
